Countries (ISO2),Countries,Year,Indicators,Result,Analysis [EN],latitude,longitude
AF,Afghanistan,2022,Are learners legally protected against all violence and corporal punishment in educational institutions?,,The applicable legal framework is unclear. The 2008 Education Law used to prohibit corporal punishment in schools. ,33.0,65.0
AF,Afghanistan,2022,Is pregnant and parenting girls’ right to education protected in the legal framework?,,"While there is no information specifically related to legal provision on pregnant and parenting girls, since September 2021, girls are de facto banned from secondary education by the de facto authorities, as well as from post-secondary education since the 20th December 2022.",33.0,65.0
AF,Afghanistan,2022,General comments,Yes,"The Taliban's government (de facto authority) has not been recognized by the international community. The applicable legal framework is unclear. This profile outlines the regulations enforced by the de facto authorities since August 2021. While some of these rules are not fully formalized in written form or legal documents, they are included here as they are implemented at the national level.",33.0,65.0
AF,Afghanistan,2022,Data last update,Yes,Last update: 11/2024,33.0,65.0
AF,Afghanistan,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Afghanistan ratified the UNESCO Convention against Discrimination in Education on 25/01/2010.,33.0,65.0
AF,Afghanistan,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,Afghanistan ratified the UN Convention on the Elimination of All Forms of Discrimination against Women on 05/03/2003 with no reservations.,33.0,65.0
AF,Afghanistan,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of Afghanistan enshrines the right to education but it is limited to citizens and therefore does not apply to all within the territory. It contains a general principle of non-discrimination which do not mention the ground of sex, and an equality principle between men and women.Constitution of Afghanistan of 2004 Article 22. Any kind of discrimination and distinction between citizens of Afghanistan shall be forbidden. The citizens of Afghanistan, man and woman, have equal rights and duties before the law.Article 43. Education is the right of all citizens of Afghanistan …",33.0,65.0
AF,Afghanistan,2019,Does the legislation enshrine the right to education without discrimination?,Yes,"The Education Law of 1387 (2008) enshrines the right to education without discrimination but does not expressly mention the ground of sex. Furthermore, the right to education is limited to citizens and does not apply to all within the territory.Education Law of 1387 (2008) Article 3. The citizens of the Islamic Republic of Afghanistan have equal rights to education without any kind of discrimination.",33.0,65.0
AF,Afghanistan,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"The Education Law of 1387 (2008) specifies that intermediate education is compulsory from first to ninth grade but there is lack of clarity of the age of completion in article 5(1) in light of article 17. Intermediate education in Afghanistan is composed of nine grades.Education Law of 1387 (2008) Article 4(1). The intermediate (basic) education in Afghanistan is compulsory.Article 5(1). Children, from age six to the completion of age nine, are compulsory enrolled in the intermediate (basic) education schools level.Article 17. Intermediate (Basic) educational level comprises grade first to the end of grade ninth, provided free and compulsory in a balanced and equitable manner.",33.0,65.0
AF,Afghanistan,2019,Are 12 years of primary and secondary education legally free?,Yes,"Free education for at least 12 years is enshrined both in the Constitution of Afghanistan of 2004 and the Education Law of 1387 (2008).Constitution of Afghanistan of 2004 Article 43. Education … shall be offered up to the B.A. level in the state educational institutes free of charge by the state.Education Law of 1387 (2008) Article 4(2). Pre- school educational level , intermediate (basic) education, secondary, technical professional, vocational, artistic, formal Islamic education, higher education, (Thirteenth and fourteenth grades) teachers’ training , literacy and basic practical education in the public educational and training institutions are provided for free.",33.0,65.0
AF,Afghanistan,2019,Is pre-primary education legally free and compulsory?,Partially,"The Education Law of 1387 (2008) specifies that pre-school education is provided for free but it does not state that it is compulsory and the duration is not specified.Education Law of 1387 (2008)Article 4(2). Pre- school educational level … are provided for free.Article 5(2). Children, whose ages are over kindergarten and lower than the school enrollment age, shall be enrolled in the pre-school education level.",33.0,65.0
AF,Afghanistan,2019,Is equal access to post-secondary education legally guaranteed?,No,"No legal provision has been identified concerning equal access to post-secondary education. The Education Law of 1387 (2008) contains a provision on TVET but only states that it is provided and expanded in public educational institutions in an equitable manner.Education Law of 1387 (2008) Article 23(1). Technical-professional, vocational and artistic education level comprises grade tenth to the end of grade fourteenth, provided and expanded in public educational institutions in a balanced and equitable manner, considering the number of population and Kochis residing in the area and educational and training standards for the graduates of the intermediate (basic) educational schools.",33.0,65.0
AF,Afghanistan,2019,Is the legal age of marriage set at least at 18 years old?,No,The Civil Code 1977 states that girls can marry at 16 years old with exceptions allowing for marriage at 15 years old.Civil Code of Afghanistan Article 70. Capacity to marry shall be complete when males attain 18 and females 16 years.Article 71(1). Marriage contract of a girl who has not attained the age mentioned in article (70) of this Law may only be concluded by her competent father or competent court. (2). Marriage contract of minor girls under 15 years old are not permissible by no means.,33.0,65.0
AF,Afghanistan,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,No,"In Afghanistan, compulsory education starts at age 6 for a minimum of nine years but the minimum age of employment is 14. Therefore, the minimum age of employment is below 15 and is not aligned with the end of compulsory education.Labour Law No 35 of 2007 Article 127. The young employee is the person who has completed 14 years of age but has not attained 18 years of age",33.0,65.0
AF,Afghanistan,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,The Education Law of 1387 (2008) prohibits corporal punishment in schools. No legal provision that expressively prohibit gender-based violence in the education system has been identified.Education Law of 1387 (2008) Article 39. Every kind of physical and psychological punishment of students is prohibited even for their correction and chastisement. Violators shall be prosecuted in accordance with the legal provisions.,33.0,65.0
AF,Afghanistan,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"No, not explicitly",No legal provision that prohibits restrictions to the right to education of pregnant and parenting girls has been identified.,33.0,65.0
AF,Afghanistan,2019,Data last update,Yes,Last update: 08/2019,33.0,65.0
AL,Albania,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Albania ratified the UNESCO Convention against Discrimination in Education on 21/11/1963.,41.0,20.0
AL,Albania,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,Albania ratified the UN Convention on the Elimination of All Forms of Discrimination against Women 11/05/1994 with no reservations.,41.0,20.0
AL,Albania,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of Albania enshrines the right to education for all without discrimination on the grounds of gender.Constitution of Albania of 1998, as amended in 2012 Article 18.	1. All are equal before the law.	2. No one may be unjustly discriminated against for reasons such as gender, race, religion, ethnicity, language, political, religious or philosophical beliefs, economic condition, education, social status, or parentage.	3. No one may be discriminated against for the reasons mentioned in paragraph 2 without a reasonable and objective justification. Article 57(1). Everyone has the right to education.",41.0,20.0
AL,Albania,2019,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The legislation guarantees the right to education for all within the State, without discrimination, including based on gender.Law Nr. 69/2012 on the pre-university education system in the republic of Albania (unofficial translation)Article 5. The right to education1. In the Republic of Albania, the right to education of Albanian citizens, foreigners and stateless persons is guaranteed, without being discriminated by gender, race, color, ethnicity, language, sexual orientation, political or religious beliefs, status, economic or social, age, place of residence, disability or for other reasons defined in the Albanian legislation. …",41.0,20.0
AL,Albania,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"Primary and secondary education is mandatory for a duration of nine years, from six to sixteen years old.Law Nr. 69/2012 on the pre-university education system in the republic of Albania (unofficial translation)Article 5. The right to education … 2. In public schools compulsory education and higher secondary education are freeArticle 22. Basic Education … 2. Basic education includes primary education and lower secondary education. Primary education consists of sixth grade, from first grade to sixth grade. Lower secondary education consists of three classes, from seventh to ninth grade.  … 4. Full-time basic education is compulsory for all children who are Albanians citizens residing in the Republic of Albania from the age of six to the age of sixteen years old … ",41.0,20.0
AL,Albania,2019,Are 12 years of primary and secondary education legally free?,Yes,"The law guarantees free primary and secondary education for at least 12 years. Law Nr. 69/2012 on the pre-university education system in the republic of Albania (unofficial translation)Article 5. The right to education… 2. In public schools compulsory education and upper secondary education are freeArticle 22. Basic Education… 2. Basic education includes primary education and lower secondary education. Primary education consists of sixth grade, from first grade to sixth grade. Lower secondary education consists of three classes, from seventh to ninth grade.  … 4. Full-time basic education is compulsory for all children who are Albanians citizens residing in the Republic of Albania from the age of six to the age of sixteen years old … Article 23. Upper secondary education… 2. In the tenth grade of full-time upper secondary education students are admitted to age not older than eighteen years. The student up to the age of twenty one shall be allowed to follow the three-year upper secondary education, courses up to the age of twenty two, the four-year upper secondary education.",41.0,20.0
AL,Albania,2019,Is pre-primary education legally free and compulsory?,No,"Pre-primary education is not free nor mandatory Law Nr. 69/2012 on the pre-university education system in the republic of Albania (unofficial translation)Article 21. Preschool education… 2. Preschool education is attended by children aged three to six years. Children of the age of five are enabled to attend the preparatory class even at the schools of basic education, with aimed at integration into compulsory education.Article 22. Basic Education… 4. Full-time basic education is compulsory for all children who are Albanians citizens residing in the Republic of Albania from the age of six to the age of sixteen years old … ",41.0,20.0
AL,Albania,2019,Is equal access to post-secondary education legally guaranteed?,Partially,"The law on non-discrimination guarantees non-discrimination to access educational institutions, but it does not explicitly apply to post-secondary education.Law on protection from discrimination, 2010Article 17. Prohibition of discrimination… 2. It is prohibited for a person or group of persons to be refused acceptance into a public educational institution for the causes mentioned in article 1 of this law. Article 20. Good and services. 1. A natural or legal person who offers goods or services to the public, whether or not for payment, is prohibited from discriminating against another person who seeks to achieve or use them: a) by refusing to give a person or group of persons goods or services for the causes mentioned in article 1 of this law; b) by refusing to offer a person goods or services in a similar manner, or with similar qualities, or in conditions similar to those in which the goods or services are offered to the public in general. …2. Point 1 of this article is especially applicable to: … ç) the opportunity to use or enter into an educational institution;",41.0,20.0
AL,Albania,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"The age of marriage is set at 18 years old for both girls and boys, but children can marry before that age with judicial consent. There is no absolute minimum age. Family Code, 2003Article 7. Age for marriage Marriage can be concluded between a man and a woman who are 18 years or older. The court in the location where the marriage is to be concluded may, for sufficient reasons, allow marriage prior to this age.",41.0,20.0
AL,Albania,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The age of employment is aligned with the end of compulsory education (16 years old). Code of Labor of the Republic of AlbaniaArticle 98. (1). The employment of the juveniles under the age of 16 is prohibited. This prohibition does not apply to the juveniles from 14 to 16 years of age, when they are employed during the holidays from school, provided that this employment doesn’t harm their health and growing up",41.0,20.0
AL,Albania,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"The law prohibits corporal punishment in schools. The law on pre-university education also protects from violence in general, but does not explicitly mention all forms of gender based violence.Law Nr. 69/2012 on the pre-university education system in the republic of Albania (unofficial translation)Article 6. General principles… 3. In the pre-university education system, students and employees are offered protection from any form of action or inaction that may cause them discrimination, violence, ill-treatment or moral damage.Law on the rights and protection of the child, 2017 [1]Article 3. definitions… 9. “Corporal punishment” is any form of punishment in which physical force is used and intended to cause pain or discomfort to the child, by any person who is legally responsible for the child. Corporal pun- 8 9 ishment includes the following forms: smacking, torturing, shaking, pushing, burning, slapping, pinching, scratching, biting, scolding, pulling the hair, forcing an action, using substances that cause pain or discomfort as well as any other similar act.Article 18. Right to education5. During the teaching and educational process the child shall be treated with dignity by the teachers and the personnel and be informed of his/her rights and the means of exercising them according to this law. Corporal punishment of the child and any other form of violence during the educational process shall be prohibited.Article 23. Protection from all forms of violence…. 4. Corporal punishment or punishment of any other form entailing consequences on the physical and mental development of the child shall be prohibited.---- [1] Retrieved from:  http://observator.org.al/wp-content/uploads/2017/06/Layout-A5-english_18May2017.pdf ",41.0,20.0
AL,Albania,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"Yes, explicitly","The law on protection discrimination prohibits discrimination in education, including based on pregnancy and parentage.Law on protection from discrimination, 2010Article 1. ObjectThis law regulates the implementation of and respect for the principle of equality in connection with … pregnancy, parentage, parental responsibility …Article 17. Prohibition of discrimination… 2. It is prohibited for a person or group of persons to be refused acceptance into a public educational institution for the causes mentioned in article 1 of this law. Article 20. Good and services. 1. A natural or legal person who offers goods or services to the public, whether or not for payment, is prohibited from discriminating against another person who seeks to achieve or use them: a) by refusing to give a person or group of persons goods or services for the causes mentioned in article 1 of this law; b) by refusing to offer a person goods or services in a similar manner, or with similar qualities, or in conditions similar to those in which the goods or services are offered to the public in general. …2. Point 1 of this article is especially applicable to: … ç) the opportunity to use or enter into an educational institution;",41.0,20.0
AL,Albania,2019,Data last update,Yes,Last update: 06/2021,41.0,20.0
DZ,Algeria,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Algeria ratified the UNESCO Convention against Discrimination in Education on 24 December 1968.,28.0,3.0
DZ,Algeria,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,"Yes, with reservations","Algeria ratified the Convention on the Elimination of All Forms of Discrimination against Women on 22 May 1996, with reservations.",28.0,3.0
DZ,Algeria,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Algerian Constitution guarantees the right to education for all and contains a principle of non-discrimination based on sex.Constitution of the Peoples Democratic Republic of Algeria of 1996, amended in 2008 (unofficial translation)Article 29. Citizens are equal before the law, without discrimination on the grounds of birth, race, sex, opinion or any other personal or social condition or circumstance.Article 53. The right to education is guaranteed. …",28.0,3.0
DZ,Algeria,2019,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","Algerian law guarantees the right to education but limits it to its citizens, without discrimination based on sex.Law No. 08-04 of 23 January 2008 on the orientation of national education (unofficial translation)Article 10. The State guarantees the right to education to all Algerians without discrimination based on sex, social origin or geographical origin.",28.0,3.0
DZ,Algeria,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"Primary and lower secondary education are compulsory from the age of 6 years old and for a period of 9 years. Any exclusion of pupils who have not reached the age of 16 is prohibited.Law No. 08-04 of 23 January 2008 on the orientation of national education (unofficial translation)Article 12. Education is compulsory for all girls and boys aged 6 to 16 years old ...Article 46. Basic education lasts nine (9) years. It combines primary and middle education. ...Article 47. Primary education, lasting five (5) years, is provided in primary schools.Article 48. The entry age to primary school is set at six (6) years of age. ...Article 50. Middle education, lasting four (4) years, is provided in middle education colleges. ...Executive Decree No. 10-02 of 18 Moharram 1431 corresponding to January 4, 2010 setting the provisions relating to the obligation of basic education (unofficial translation)Article 12. In accordance with the legal provisions in force, any exclusion of pupils who have not reached the age of sixteen (16) years is prohibited. ...",28.0,3.0
DZ,Algeria,2019,Are 12 years of primary and secondary education legally free?,Yes,"Education is free at all levels, including primary and secondary education for a period of 12 years, in institutions belonging to the public sector of national education. Exceptions can be applied by regulation.Law No. 08-04 of 23 January 2008 on the orientation of national education (unofficial translation)Article 13. Education is free at all levels in establishments belonging to the public sector of national education. ... However, parents contribution to certain costs related to schooling and, without infringing the principle of free education, may be requested according to provisions defined by regulation.Article 46. Basic education lasts nine (9) years. It combines primary and middle education. ...Article 53. General and technological secondary education constitutes the academic path downstream from compulsory basic educationArticle 54. General and technological secondary education, lasting three (3) years, is provided in high schools.",28.0,3.0
DZ,Algeria,2019,Is pre-primary education legally free and compulsory?,Partially,"Preschool education, which includes one year of preparatory education for five and six-year-olds, is not compulsory but free in institutions belonging to the public national education sector.Law No. 08-04 of 23 January 2008 on the orientation of national education (unofficial translation)Article 13. Education is free at all levels in establishments belonging to the public sector of national education. ... However, parents contribution to certain costs related to schooling and, without infringing the principle of free education, may be requested according to provisions defined by regulation.Article 38. Pre-school education brings together, upstream of compulsory schooling, the various stages of socio-educational support for children aged three (3) to six (6) years old. Preparatory education, within the meaning of this law, corresponds to the final stage of preschool education; it prepares children aged five (5) and six (6) years old for access to primary education.Article 41. Notwithstanding the non-compulsory nature of preschool education, the State ensures the development of preparatory education and pursues its generalization with the assistance of institutions, administrations and public establishments, associations as well as the private sector.",28.0,3.0
DZ,Algeria,2019,Is equal access to post-secondary education legally guaranteed?,Partially,"Algerian legislation generally guarantees equality of opportunity in terms of schooling conditions and the pursuit of studies after basic education, but does not explicitly apply to post-secondary education.Law No. 08-04 of 23 January 2008 on the orientation of national education (unofficial translation)Article 11. The right to education is concretized by the generalization of basic education and by the guarantee of equal opportunities in terms of schooling conditions and the pursuit of studies after basic education.",28.0,3.0
DZ,Algeria,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"The minimum age of marriage is 19, but legal exceptions allow marriage below this age without setting an absolute minimum.Law n ° 84-11 of June 9, 1984 relating to the family code, amended and supplemented (unofficial translation)Article 7. The capacity to marry is deemed to be valid at the age of 19 for men and women. However, the judge may grant a waiver of age for reasons of interest or in case of necessity, when the suitability for marriage of both parties is established.",28.0,3.0
DZ,Algeria,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The minimum age for admission to employment is 16 which is aligned with the end of compulsory education.Law n ° 90/11 of April 21, 1990 on labor relations supplemented and amended (unofficial translation)Article 15. The minimum age required for recruitment may in no case be less than sixteen years (16 years) ...",28.0,3.0
DZ,Algeria,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"Algerian law prohibits corporal punishment in schools. No other legal provision regarding violence in educational establishments has been identified.Law No. 08-04 of 23 January 2008 on the orientation of national education (unofficial translation)Article 21. Corporal punishment, moral abuse and all forms of bullying are prohibited in schools. ...",28.0,3.0
DZ,Algeria,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"No, not explicitly",No legal provision has been identified relating to the right to education of pregnant and parenting girls.,28.0,3.0
DZ,Algeria,2019,Data last update,Yes,Last update: 12/2021,28.0,3.0
AD,Andorra,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Andorra ratified the UNESCO Convention against Discrimination in Education on 13 March 2018.,42.5063,1.5218
AD,Andorra,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,"Andorra ratified the Convention on the Elimination of All Forms of Discrimination against Women on 15 January 1997, without reservations.",42.5063,1.5218
AD,Andorra,2019,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of the Principality of Andorra enshrines the right to education for all without discrimination on the basis of sex.Constitution of the Principality of Andorra of 1993 (unofficial translation)Article 6. 1. All persons are equal before the law. No one may be discriminated against on the grounds of birth, race, sex, origin, religion, opinion or any other personal or social condition.Article 20. 1. Everyone has the right to education….",42.5063,1.5218
AD,Andorra,2019,Does the legislation enshrine the right to education without discrimination?,Partially,"The Qualified Act on Education does not guarantee the right to education in a comprehensive manner but only the right to a “basic” education. Equal treatment and non-discrimination in education are guaranteed in the Equal Treatment Act.Qualified Act on Education, 1993 (unofficial translation)Article 1. 1. Everyone has the right to a basic education enabling them to develop their own personality, to become a citizen and to take part in the development of the country.2. Similarly, everyone has the right to access levels of higher education, according to their abilities, activity and vocation.Equal Treatment and Non-Discrimination Act, 2019 (unofficial translation)Article 1 Purpose. The purpose of this Act is to guarantee the right to equal treatment and non-discrimination, in accordance with Article 1 (2) and Article 6 of the Constitution. To this end, the law establishes the principles of action by the public authorities and the measures aimed at intervention, re-education, prevention, elimination and correction of all forms of discrimination in the public and private sectors.Article 3 Field of application. This Act applies to all fields of economic, social, cultural and political life, and the following fields in particular: ... f) Education ...Article 4 Meaning of the right to equal treatment and non-discrimination1. The right to equal treatment and non-discrimination is recognized.2. No one shall be discriminated against on the basis of their birth, nationality or absence of nationality, racial or ethnic origin, sex or gender, religion, philosophical, political or trade union convictions or opinions, language, age, disability, sexual orientation, gender identity or expression, or any other personal or social condition or circumstance.3. Any provision, conduct, act or practice which violates, by action or omission, the right to equal treatment and non-discrimination is prohibited...",42.5063,1.5218
AD,Andorra,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"Primary and secondary education is compulsory for a period of 11 years.Qualified Act on Education, 1993 (unofficial translation)Article 4. 1. Basic education is compulsory and free for all citizens, natives and legally resident foreigners, at the levels established under Article 7 of this Act. The State guarantees this right through state schools.Article 7. 1. Compulsory schooling comprises the primary and secondary levels of education. These run from 6 to 16 years of age.",42.5063,1.5218
AD,Andorra,2019,Are 12 years of primary and secondary education legally free?,Partially,"Free education is guaranteed for a period of ten years, generally speaking, and in the Andorran education system.However, French educational institutions are subject to the principle of free education applicable in France (12 years, see Her Atlas country details for France). With regard to free education in Spanish institutions, it is not explicitly stated whether the length thereof extends beyond ten years.Qualified Act on Education, 1993 (unofficial translation)Article 4. 1. Basic education is compulsory and free for all citizens, natives and legally resident foreigners, at the levels established under Article 7 of this Act. The State guarantees this right through state schools.Article 7. 1. Compulsory schooling comprises the primary and secondary levels of education. These run from 6 to 16 years of age.Convention between the Government of the French Republic and the Government of the Principality of Andorra in the field of education, 2013 (unofficial translation)Article 1. French educational institutions ... provide education in accordance with the principles of free, secular and compulsory education in force in state schools in France.Agreement between the Government of the Principality of Andorra and the Government of the Kingdom of Spain in the field of education, 2007 (unofficial translation)Article 1 Spanish education system1. The Spanish public education system in Andorra is composed of the Spanish schools listed in Annex I of this Agreement.Article 3 Applicable Provisions for Students1. Education in the centres referred to in paragraph 1 of Article 1 of this Convention is free of charge for all students.Annex 1.1. The centres belonging to the Spanish State in Andorra for the purposes of this Agreement (and without prejudice to the possible future creation of new centres) are as follows:- Instituto Español de Andorra.Gran Valira Spanish Primary School, formed by the grouping of schools of Andorra la Vella and Escaldes-Engordany.The Spanish primary school of Sant Julià de Lòria.The Spanish primary school of Vall d’Orient, made up of the grouping of the schools of Encamp, Canillo and El Pas de la Casa.The Spanish primary school in the North Valley, formed by the grouping of the schools of La Massana and Ordino.",42.5063,1.5218
AD,Andorra,2019,Is pre-primary education legally free and compulsory?,No,"No provision guaranteeing the free or compulsory character of pre-primary education has been identified for the Andorran system. In the French system, pre-primary education is compulsory and free from 3 years of age (see Her Atlas country details for France). Although pre-primary education in Spain is free and non-compulsory (see Her Atlas country details for Spain), since no pre-primary educational institution is mentioned in the Annex to the Agreement between the Spanish and Andorran governments, free education at the pre-primary level does not appear to be guaranteed in Spanish schools in Andorra.Convention between the Government of the French Republic and the Government of the Principality of Andorra in the field of education, 2013 (unofficial translation)Article 1. French educational institutions ... provide education in accordance with the principles of free, secular and compulsory education in force in state schools in France.Agreement between the Government of the Principality of Andorra and the Government of the Kingdom of Spain in the field of education, 2007 (unofficial translation)Article 1 Spanish education system1. The Spanish public education system in Andorra is composed of the Spanish schools listed in Annex I of this Agreement.Article 3 Applicable Provisions for Students1. Education in the centres referred to in paragraph 1 of Article 1 of this Convention is free of charge for all students.Annex 1.1. The centres belonging to the Spanish State in Andorra for the purposes of this Agreement (and without prejudice to the possible future creation of new centres) are as follows:- Instituto Español de Andorra.Gran Valira Spanish Primary School, formed by the grouping of schools of Andorra la Vella and Escaldes-Engordany.The Spanish primary school of Sant Julià de Lòria.The Spanish primary school of Vall d’Orient, made up of the grouping of the schools of Encamp, Canillo and El Pas de la Casa.The Spanish primary school in the North Valley, formed by the grouping of the schools of La Massana and Ordino.",42.5063,1.5218
AD,Andorra,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The law guarantees equal access to post-secondary education.Higher Education Act, 2018 (unofficial translation)Article 1 Purpose and rank of the Act1. The purpose of this Act is the organization of higher education within the framework of the European Higher Education Area.2. This Act establishes the framework for ensuring that no person who advantageously qualifies to pursue studies in higher education may be excluded from such studies on the grounds of birth, race, sex, origin, religion, opinion or any other personal or social condition.Article 2 Definitions:1. Definitions:a) Higher education includes the whole of post-secondary education.b) Higher education is composed of the following institutions: universities, centres of higher vocational education and training and other centres of higher education...",42.5063,1.5218
AD,Andorra,2019,Is the legal age of marriage set at least at 18 years old?,No,"The legal age of marriageability is 16, which may be further lowered to 14 years of age with the authorization of a judge.Qualified Act on Marriage, 1995Article 18 The following may not enter into a civil marriage:1. Minors of sixteen years of age, except in case of exemption under the conditions of Article 20.Article 20 The civil courts, at the interested parties’ request, on the basis of valid grounds, and after approval from the Attorney General’s Office, may dispense with the following impediments:1. That relating to age, in the case of persons of fourteen years of age having reached majority, after hearing the persons exercising parental authority or guardianship, who in all cases shall declare whether they consent to the marriage or oppose it.",42.5063,1.5218
AD,Andorra,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The legal working age is 16, which corresponds to the end of compulsory schooling (16). Children between 14 and 15 years of age may only be employed during school holidays, under certain conditions.Labour Relations Act, 2018 (unofficial translation)Article 21 Child labourWithout exception, hiring and provision of any work, whether paid or unpaid, is prohibited with regard to children under 14 years of age. Minors between 14 and 15 years of age may not engage in any professional occupation during the school period. They may work during school holidays, up to a maximum of two months per year, provided that the work is of a light nature and does not harm their physical or moral development, etc. Minors between 16 and 17 years of age may perform work appropriate for their age, of a light nature and which does not harm their physical or moral development etc.",42.5063,1.5218
AD,Andorra,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"The Equal Treatment and Non-Discrimination Act prohibits all gender-based violence in education. On the other hand, corporal punishment is not explicitly prohibited in the school system.Equal Treatment and Non-Discrimination Act, 2019 (unofficial translation)Article 1 Purpose The purpose of this Act is to guarantee the right to equal treatment and non-discrimination, in accordance with Article 1 (2) and Article 6 of the Constitution. To this end, the law establishes the principles of action by the public authorities and the measures aimed at intervention, re-education, prevention, elimination and correction of all forms of discrimination in the public and private sectors.Article 3 Field of application This Act applies to all fields of economic, social, cultural and political life, and the following fields in particular: ... f) EducationArticle 11 Gender-based violence against women. Gender-based violence against women shall be understood as a violation of human rights and a form of discrimination against women, and shall refer to all acts of gender-based violence that involve or are liable to cause harm or suffering to women of a physical, sexual, psychological or economic nature, including threats of such acts, and coercion or arbitrary deprivation of liberty, whether in public or private life, for women. ",42.5063,1.5218
