comment_text,original_line,clean_text,sentiment,confidence,topic,emotions,neutral,surprise,sadness,joy,fear,anger,disgust,neutral_linguistic,surprise_linguistic,sadness_linguistic,joy_linguistic,fear_linguistic,anger_linguistic,disgust_linguistic,neutral_sentence_count,surprise_sentence_count,sadness_sentence_count,joy_sentence_count,fear_sentence_count,anger_sentence_count,disgust_sentence_count,dominant_emotion
The British left us with a good educatin system but politics killed it.Cambridge to spm what a shame.,16,british left good educatin system politics killed itcambridge spm shame,negative,0.9377729892730713,0,"{'sadness': 0.9392566084861755, 'surprise': 0.024925440549850464, 'neutral': 0.013076700270175934, 'joy': 0.008995003998279572, 'anger': 0.0062262085266411304, 'fear': 0.005398359149694443, 'disgust': 0.0021216198801994324}",0.013076700270175934,0.024925440549850464,0.9392566084861755,0.008995003998279572,0.005398359149694443,0.0062262085266411304,0.0021216198801994324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sadness
They dont bother  about that wat they want u know i inow i know,17,dont bother wat want know inow know,neutral,0.5019051432609558,2,"{'neutral': 0.606036901473999, 'anger': 0.16207903623580933, 'sadness': 0.12593655288219452, 'joy': 0.041772861033678055, 'surprise': 0.0348772332072258, 'disgust': 0.015639185905456543, 'fear': 0.013658140785992146}",0.606036901473999,0.0348772332072258,0.12593655288219452,0.041772861033678055,0.013658140785992146,0.16207903623580933,0.015639185905456543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"Why is in malay speaking test, we have to make essay?",18,malay speaking test make essay,negative,0.5576350092887878,0,"{'neutral': 0.7307186722755432, 'surprise': 0.17620615661144257, 'joy': 0.052233289927244186, 'sadness': 0.02245306596159935, 'fear': 0.011080102995038033, 'anger': 0.005779021419584751, 'disgust': 0.0015297147911041975}",0.7307186722755432,0.17620615661144257,0.02245306596159935,0.052233289927244186,0.011080102995038033,0.005779021419584751,0.0015297147911041975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"The old saying that ""A fish rots from the head"" is totally applicable to the Malaysian education system.  Poor performance of students and teachers, and the civil servants in the Ministry of Edycation has gone downhill so fast because education is used as a political tool.  So forget frying to improve it. As long as  Malay politicians are in control of education policies and practices, Malays will always be thrid world citizens in a third world country.",19,old saying fish rots head totally applicable malaysian education system poor performance students teachers civil servants ministry edycation gone downhill fast education used political tool forget frying improve long malay politicians control education policies practices malays always thrid world citizens third world country,negative,0.8671970963478088,0,"{'sadness': 0.5533024668693542, 'surprise': 0.22643691301345825, 'anger': 0.0928664356470108, 'neutral': 0.07333768904209137, 'joy': 0.0466744601726532, 'fear': 0.005166428163647652, 'disgust': 0.0022156289778649807, 'sadness_linguistic': 1.2, 'sadness_sentence_count': 1}",0.07333768904209137,0.22643691301345825,0.5533024668693542,0.0466744601726532,0.005166428163647652,0.0928664356470108,0.0022156289778649807,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sadness
The title of this video proves the failure 💀😂,20,title video proves failure,negative,0.9044244289398193,0,"{'neutral': 0.4226455092430115, 'sadness': 0.3122461438179016, 'disgust': 0.13382302224636078, 'anger': 0.0732060968875885, 'surprise': 0.026087909936904907, 'fear': 0.021862737834453583, 'joy': 0.010128594934940338}",0.4226455092430115,0.026087909936904907,0.3122461438179016,0.010128594934940338,0.021862737834453583,0.0732060968875885,0.13382302224636078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"Teachers were bogged down with so much admin, they are worn out. Also teachers aren't taken care of. Partly to do with society ...",21,teachers bogged much admin worn also teachers arent taken care partly society,negative,0.8143025040626526,-1,"{'sadness': 0.8423962593078613, 'anger': 0.0839868038892746, 'neutral': 0.03076440654695034, 'surprise': 0.01572337932884693, 'disgust': 0.014803977683186531, 'joy': 0.008243745192885399, 'fear': 0.004081467632204294, 'love_linguistic': 1.0, 'neutral_linguistic': 1.0, 'love_sentence_count': 1, 'neutral_sentence_count': 1}",0.03076440654695034,0.01572337932884693,0.8423962593078613,0.008243745192885399,0.004081467632204294,0.0839868038892746,0.014803977683186531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sadness
Malaysia education been injected with Politics and Religion ... Weaponised for special interest groups ...,22,malaysia education injected politics religion weaponised special interest groups,negative,0.785593569278717,0,"{'neutral': 0.762082040309906, 'anger': 0.08216176927089691, 'surprise': 0.04968896508216858, 'disgust': 0.04711395502090454, 'sadness': 0.04234454408288002, 'joy': 0.011372598819434643, 'fear': 0.005236069671809673, 'love_linguistic': 1.0, 'love_sentence_count': 1}",0.762082040309906,0.04968896508216858,0.04234454408288002,0.011372598819434643,0.005236069671809673,0.08216176927089691,0.04711395502090454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
How to be a developed nation with such bottom bad education system ? No hope coz of religion meddling,23,developed nation bottom bad education system hope coz religion meddling,negative,0.9068825244903564,0,"{'neutral': 0.47120070457458496, 'sadness': 0.364162415266037, 'joy': 0.05575703829526901, 'surprise': 0.04859523847699165, 'anger': 0.041213374584913254, 'disgust': 0.01345812901854515, 'fear': 0.0056130546145141125}",0.47120070457458496,0.04859523847699165,0.364162415266037,0.05575703829526901,0.0056130546145141125,0.041213374584913254,0.01345812901854515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"Many things are failures, MAS, tabung Haji, felda, LCS navy ships, GISBHD, anti corruption system, 1mdb and the list goes on and on. Many leaders and their supporters are not human.",24,many things failures mas tabung haji felda lcs navy ships gisbhd anti corruption system mdb list goes many leaders supporters human,negative,0.8754516839981079,0,"{'neutral': 0.42071521282196045, 'sadness': 0.24700576066970825, 'anger': 0.2411712110042572, 'disgust': 0.04010986164212227, 'surprise': 0.023334592580795288, 'fear': 0.015103859826922417, 'joy': 0.01255953498184681}",0.42071521282196045,0.023334592580795288,0.24700576066970825,0.01255953498184681,0.015103859826922417,0.2411712110042572,0.04010986164212227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
Standards pulled down to accommodate the weak. ENGLAND cannot b handled.😂😂😂 Graduates cannot even speak than complain kena  sidelined by big Co.,25,standards pulled accommodate weak england cannot handled graduates cannot even speak complain kena sidelined big,negative,0.9043158292770386,0,"{'sadness': 0.4032954275608063, 'anger': 0.356147438287735, 'neutral': 0.1988426148891449, 'surprise': 0.02250388078391552, 'disgust': 0.00793661829084158, 'fear': 0.007153741549700499, 'joy': 0.004120295401662588}",0.1988426148891449,0.02250388078391552,0.4032954275608063,0.004120295401662588,0.007153741549700499,0.356147438287735,0.00793661829084158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sadness
Let's be real ... Shit started going downhill when they changed PMR to PT3,26,lets real shit started going downhill changed pmr,negative,0.8849722743034363,0,"{'surprise': 0.37880226969718933, 'anger': 0.24697594344615936, 'sadness': 0.15344521403312683, 'fear': 0.14551326632499695, 'neutral': 0.04142402485013008, 'disgust': 0.021055154502391815, 'joy': 0.012784246355295181, 'sadness_linguistic': 1.0, 'neutral_linguistic': 1.0, 'sadness_sentence_count': 1, 'neutral_sentence_count': 1}",0.04142402485013008,0.37880226969718933,0.15344521403312683,0.012784246355295181,0.14551326632499695,0.24697594344615936,0.021055154502391815,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,sadness
"I really think that Malaysian are not ready to have English as medium but observing the current economy situation in Malaysia today is it vital for students to at least try to study in English. 

We have to start somewhere.Now it’s year 2024 the new generation must speak English and able to take  those Science subjects in English also.Otherwise Malaysian can’t compete globally.We can learn from Singapore.❤",27,really think malaysian ready english medium observing current economy situation malaysia today vital students least try study english start somewherenow year new generation must speak english able take science subjects english alsootherwise malaysian cant compete globallywe learn singapore,neutral,0.6581515669822693,-1,"{'joy': 0.5000607967376709, 'surprise': 0.3571047782897949, 'neutral': 0.06409846246242523, 'sadness': 0.04438101500272751, 'fear': 0.022039568051695824, 'anger': 0.01197768747806549, 'disgust': 0.0003376577515155077, 'neutral_linguistic': 2.4, 'neutral_sentence_count': 1}",0.06409846246242523,0.3571047782897949,0.04438101500272751,0.5000607967376709,0.022039568051695824,0.01197768747806549,0.0003376577515155077,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"I think that Malaysian education system has been failed...Students nowadays didn't apply critical thinking in their lives due to the corrupted education system which mainly focuses on the memorisation of the facts and unorganized syllabus... For example when I was doing STPM, Sejarah subject was the hardest to cover ... This is because there are too many topics that must be covered in quicker time making students to face imminent pressure to score well in the subject... Luckily I got A- in the subject... In Conclusion, I think that the government must do some reforms to improve the quality of our education system",28,think malaysian education system failedstudents nowadays didnt apply critical thinking lives due corrupted education system mainly focuses memorisation facts unorganized syllabus example stpm sejarah subject hardest cover many topics must covered quicker time making students face imminent pressure score well subject luckily got subject conclusion think government must reforms improve quality education system,negative,0.6923751831054688,0,"{'sadness': 0.35269081592559814, 'surprise': 0.30466824769973755, 'joy': 0.16484160721302032, 'anger': 0.09861356019973755, 'neutral': 0.042016468942165375, 'fear': 0.03617073595523834, 'disgust': 0.0009986208751797676}",0.042016468942165375,0.30466824769973755,0.35269081592559814,0.16484160721302032,0.03617073595523834,0.09861356019973755,0.0009986208751797676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sadness
Look - AI is here and smarter than you. White collar jobs are gone. Brace yourselves. Time for the masses to return to trades or farming.,29,look smarter white collar jobs gone brace time masses return trades farming,neutral,0.5369595885276794,0,"{'surprise': 0.3279498815536499, 'joy': 0.29522237181663513, 'neutral': 0.2274457812309265, 'fear': 0.0599052868783474, 'sadness': 0.0518316887319088, 'anger': 0.03630238398909569, 'disgust': 0.0013425934594124556}",0.2274457812309265,0.3279498815536499,0.0518316887319088,0.29522237181663513,0.0599052868783474,0.03630238398909569,0.0013425934594124556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,surprise
I’ve met more than my share of ‘lecturers’ who can’t hold an intelligent conversation about our economy or politics. That tells me all I need to know.,30,ive met share lecturers cant hold intelligent conversation economy politics tells need know,negative,0.7428628206253052,-1,"{'neutral': 0.4695955514907837, 'surprise': 0.34458836913108826, 'joy': 0.09840044379234314, 'sadness': 0.0650552287697792, 'anger': 0.012077199295163155, 'fear': 0.008607323281466961, 'disgust': 0.0016758785350248218}",0.4695955514907837,0.34458836913108826,0.0650552287697792,0.09840044379234314,0.008607323281466961,0.012077199295163155,0.0016758785350248218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
Politics played a very important role in the education system of Malaysia.why?¿?? In 1985 all subjects in primary n secondary School were taught in Bahasa Malaysia except English.At that time Anwar Ibrahim was the education minister.He is the one that changed the corriculum.Today very day what happened to our standard of English.zero!!!,31,politics played important role education system malaysiawhy subjects primary secondary school taught bahasa malaysia except englishat time anwar ibrahim education ministerhe one changed corriculumtoday day happened standard englishzero,neutral,0.5692527890205383,-1,"{'surprise': 0.8178521394729614, 'neutral': 0.08522307872772217, 'sadness': 0.03819317743182182, 'joy': 0.03656083717942238, 'anger': 0.0179628636687994, 'fear': 0.0037788902409374714, 'disgust': 0.00042896275408566}",0.08522307872772217,0.8178521394729614,0.03819317743182182,0.03656083717942238,0.0037788902409374714,0.0179628636687994,0.00042896275408566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,surprise
Too busy holding Solidarity Week mah,32,busy holding solidarity week mah,neutral,0.6429213881492615,0,"{'joy': 0.33991679549217224, 'sadness': 0.20669689774513245, 'fear': 0.18659481406211853, 'anger': 0.17992931604385376, 'neutral': 0.061368200927972794, 'disgust': 0.02172323316335678, 'surprise': 0.003770736511796713}",0.061368200927972794,0.003770736511796713,0.20669689774513245,0.33991679549217224,0.18659481406211853,0.17992931604385376,0.02172323316335678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy
"Tan Chye, don’t blame religious education. Even those countries which don’t emphasize religious studies have the same problem. You need to do more serious research before jumping into conclusion. Your prejudice is showing.",33,tan chye dont blame religious education even countries dont emphasize religious studies problem need serious research jumping conclusion prejudice showing,negative,0.8629149794578552,0,"{'anger': 0.7960819602012634, 'sadness': 0.11547405272722244, 'neutral': 0.053930431604385376, 'disgust': 0.017200851812958717, 'fear': 0.008800121024250984, 'surprise': 0.004877571947872639, 'joy': 0.003634915454313159}",0.053930431604385376,0.004877571947872639,0.11547405272722244,0.003634915454313159,0.008800121024250984,0.7960819602012634,0.017200851812958717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger
"Why Malaysia Education System Is A Failure?  Becooos of the Malay hatred toward Western. After independent, Malaysian government started to abandon the world language for knowledge, that's is English and put less study in maths, science and technology but put more money on research regarding bigot religious study to give more job for themselves and more radical like Taliban. The rest is history.",34,malaysia education system failure becooos malay hatred toward western independent malaysian government started abandon world language knowledge thats english put less study maths science technology put money research regarding bigot religious study give job radical like taliban rest history,negative,0.8517329692840576,0,"{'anger': 0.7290682792663574, 'sadness': 0.22579145431518555, 'joy': 0.012958962470293045, 'surprise': 0.011812989600002766, 'fear': 0.010489599779248238, 'neutral': 0.00753385154530406, 'disgust': 0.0023447542916983366, 'love_linguistic': 1.0, 'love_sentence_count': 1}",0.00753385154530406,0.011812989600002766,0.22579145431518555,0.012958962470293045,0.010489599779248238,0.7290682792663574,0.0023447542916983366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger
"Indeed, we lack reading culture.",35,indeed lack reading culture,negative,0.802271842956543,0,"{'sadness': 0.4714750051498413, 'neutral': 0.23879297077655792, 'disgust': 0.2046286165714264, 'anger': 0.04826359078288078, 'surprise': 0.02432146854698658, 'fear': 0.010796972550451756, 'joy': 0.00172137888148427, 'neutral_linguistic': 1.0, 'neutral_sentence_count': 1}",0.23879297077655792,0.02432146854698658,0.4714750051498413,0.00172137888148427,0.010796972550451756,0.04826359078288078,0.2046286165714264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
Look at those mainstream schools' teachers. Don't let your kids died.,36,look mainstream schools teachers dont let kids died,negative,0.7443822622299194,-1,"{'surprise': 0.4858407974243164, 'neutral': 0.39724090695381165, 'sadness': 0.049706440418958664, 'joy': 0.026073722168803215, 'anger': 0.025829017162322998, 'disgust': 0.011411881074309349, 'fear': 0.0038972264155745506}",0.39724090695381165,0.4858407974243164,0.049706440418958664,0.026073722168803215,0.0038972264155745506,0.025829017162322998,0.011411881074309349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,surprise
"HAHAHAAA! Malaysia prioritises life for the HEREAFTER with agama lessons more than English,  Mathematics & Sciences to have 1 idiot who said the earth in shared like a doughnut!!! 🤣🤣🤣🤣🤣🤣WTF!!!",37,hahahaaa malaysia prioritises life hereafter agama lessons english mathematics sciences idiot said earth shared like doughnut wtf,negative,0.7945862412452698,0,"{'surprise': 0.4333563446998596, 'joy': 0.24067524075508118, 'neutral': 0.12742984294891357, 'sadness': 0.10134340077638626, 'anger': 0.0779048278927803, 'fear': 0.01328655518591404, 'disgust': 0.006003774702548981}",0.12742984294891357,0.4333563446998596,0.10134340077638626,0.24067524075508118,0.01328655518591404,0.0779048278927803,0.006003774702548981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,surprise
English is the key. National language of Spore is also Malay but Spore's emphasis and working language is English . English is the international language of the world,38,english key national language spore also malay spores emphasis working language english english international language world,neutral,0.6205865740776062,0,"{'neutral': 0.6731399297714233, 'disgust': 0.19259119033813477, 'sadness': 0.03959057852625847, 'anger': 0.03455876186490059, 'joy': 0.02888670563697815, 'surprise': 0.021868377923965454, 'fear': 0.009364478290081024, 'neutral_linguistic': 1.0, 'neutral_sentence_count': 1}",0.6731399297714233,0.021868377923965454,0.03959057852625847,0.02888670563697815,0.009364478290081024,0.03455876186490059,0.19259119033813477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"With nothing short of absolute due respect and with no malice or ill-thoughts whatsoever, and since this video clip is touching on the very essence of why Malaysia failed miserably and pathetically in the recent PISA score, based on the fact that this YouTube video clip will be circulated worldwide, may I humbly suggest that Mr Money himself brushes up his L2 spoken English in his next video clip on YouTube/Tik Tok/FB etc. Thank you.",39,nothing short absolute due respect malice illthoughts whatsoever since video clip touching essence malaysia failed miserably pathetically recent pisa score based fact youtube video clip circulated worldwide may humbly suggest money brushes spoken english next video clip youtubetik tokfb etc thank,neutral,0.5769255757331848,-1,"{'joy': 0.5046608448028564, 'anger': 0.21493157744407654, 'neutral': 0.19806024432182312, 'surprise': 0.0578625351190567, 'sadness': 0.016195198521018028, 'fear': 0.005135348066687584, 'disgust': 0.0031541557982563972, 'neutral_linguistic': 0.5, 'love_sentence_count': 1}",0.19806024432182312,0.0578625351190567,0.016195198521018028,0.5046608448028564,0.005135348066687584,0.21493157744407654,0.0031541557982563972,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy
It's because our priority is not to educate our young but on R&R nationalism.,40,priority educate young nationalism,neutral,0.7108167409896851,0,"{'neutral': 0.9284530878067017, 'anger': 0.018326418474316597, 'fear': 0.013148174621164799, 'sadness': 0.012630976736545563, 'disgust': 0.012525948695838451, 'surprise': 0.007823056541383266, 'joy': 0.007092292420566082}",0.9284530878067017,0.007823056541383266,0.012630976736545563,0.007092292420566082,0.013148174621164799,0.018326418474316597,0.012525948695838451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
Rasist policy ends up failures in every field. Pending conquer by foreign power again.,41,rasist policy ends failures every field pending conquer foreign power,negative,0.862887442111969,0,"{'neutral': 0.5215814113616943, 'sadness': 0.16399314999580383, 'anger': 0.1608688086271286, 'surprise': 0.0989157184958458, 'disgust': 0.024075772613286972, 'fear': 0.01865662820637226, 'joy': 0.011908626183867455}",0.5215814113616943,0.0989157184958458,0.16399314999580383,0.011908626183867455,0.01865662820637226,0.1608688086271286,0.024075772613286972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
"education should be free from colored. add more assistance to B40 groups instead. if the majority of people think that their income level is still below average, then helping all the B40 group would help the majority (it serves the same purpose while not neglecting minority B40 as well), and there is no need to implement a color policy. Some people will take advantage of colored policy even if they are very rich,",42,education free colored add assistance groups instead majority people think income level still average helping group would help majority serves purpose neglecting minority well need implement color policy people take advantage colored policy even rich,neutral,0.7312155365943909,-1,"{'neutral': 0.4266642928123474, 'joy': 0.3477686047554016, 'sadness': 0.0964951440691948, 'surprise': 0.08262927830219269, 'anger': 0.03818323463201523, 'disgust': 0.006517782807350159, 'fear': 0.0017417665803804994, 'anger_linguistic': 1.0, 'anger_sentence_count': 1}",0.4266642928123474,0.08262927830219269,0.0964951440691948,0.3477686047554016,0.0017417665803804994,0.03818323463201523,0.006517782807350159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,anger
